balanced_acc,precision,recall,f1,roc_auc,pr_auc,model,split,slice_col,slice_val,n
0.8470493607653882,0.873015873015873,0.8661417322834646,0.8695652173913044,0.9105777100443089,0.9101316755788836,HGB,val,source_type,synthetic,660
0.6525000000000001,0.7391304347826086,0.68,0.7083333333333334,0.71375,0.8111312517936422,HGB,val,train_horizon,8.0,123
0.8429144385026739,0.8805970149253731,0.8676470588235294,0.874074074074074,0.90975935828877,0.9307556869248897,HGB,val,train_horizon,10.0,112
0.9196781479390175,0.9358974358974359,0.948051948051948,0.9419354838709677,0.9776962168266516,0.9851480109195125,HGB,val,train_horizon,12.0,123
0.9089876703439326,0.9027777777777778,0.9701492537313433,0.9352517985611511,0.9218040233614537,0.9239363037315516,HGB,val,train_horizon,14.5,113
1.0,1.0,1.0,1.0,,,HGB,val,train_horizon,14.75,8
0.899749373433584,0.9193548387096774,0.9047619047619048,0.912,0.9410192147034252,0.9397871487804208,HGB,val,train_horizon,16.0,221
0.9097527760318458,0.9345794392523364,0.9009009009009009,0.9174311926605505,0.9533836161743139,0.9508617988253518,HGB,val,is_censored,0,197
0.8294737017476634,0.8685897435897436,0.8713826366559485,0.869983948635634,0.8998134048614698,0.923391761619515,HGB,val,is_censored,1,504
0.8535519543392958,0.8854415274463007,0.8791469194312796,0.8822829964328182,0.9191382561280131,0.9329887756390063,HGB,val,too_sparse,0,701
0.8339953920711846,0.85995085995086,0.8536585365853658,0.8567931456548348,0.9227615794073251,0.9423800883501179,HGB,test,overall,all,717
1.0,1.0,1.0,1.0,,,HGB,test,source_type,lab,78
0.816804677995369,0.8267477203647416,0.8192771084337349,0.8229954614220877,0.9046250147168479,0.909283415299012,HGB,test,source_type,synthetic,639
0.6655773420479303,0.75,0.7037037037037037,0.7261146496815287,0.7647058823529412,0.8483379511592104,HGB,test,train_horizon,8.0,132
0.838718820861678,0.8732394366197183,0.8611111111111112,0.8671328671328671,0.9075963718820863,0.930434593154499,HGB,test,train_horizon,10.0,121
0.8917824074074074,0.8611111111111112,0.96875,0.911764705882353,0.9609375,0.9667495897570788,HGB,test,train_horizon,12.0,118
0.9066763425253992,0.921875,0.9076923076923077,0.9147286821705427,0.9724238026124818,0.9795872258353462,HGB,test,train_horizon,14.5,118
1.0,1.0,1.0,1.0,,,HGB,test,train_horizon,14.75,18
0.8481818181818181,0.8679245283018868,0.8363636363636363,0.8518518518518519,0.9359999999999999,0.9392991645883547,HGB,test,train_horizon,16.0,210
0.8616529132283071,0.8953488372093024,0.8279569892473119,0.8603351955307263,0.9468617154288572,0.9466833561050979,HGB,test,is_censored,0,179
0.8220020840173001,0.8504672897196262,0.861198738170347,0.8557993730407524,0.9135846524972522,0.9409685163164399,HGB,test,is_censored,1,538
0.8339953920711846,0.85995085995086,0.8536585365853658,0.8567931456548348,0.9227615794073251,0.9423800883501179,HGB,test,too_sparse,0,717
